repo,number,title,url,author,draft,created_at,closed_at,merged_at,additions,deletions,changed_files,commits,reviews_count,first_review_at,time_to_first_review_hours,time_to_merge_hours,open_time_hours
example-org/backend-api,89,Add rate limiting middleware,https://github.com/example-org/backend-api/pull/89,john-backend,False,2025-10-25T10:00:00+00:00,2025-10-25T16:00:00+00:00,2025-10-25T16:00:00+00:00,156,34,8,4,2,2025-10-25T11:30:00+00:00,1.5,6.0,
example-org/backend-api,88,Fix database connection pool leak,https://github.com/example-org/backend-api/pull/88,lisa-db,False,2025-10-24T09:00:00+00:00,2025-10-24T14:00:00+00:00,2025-10-24T14:00:00+00:00,67,45,5,3,2,2025-10-24T10:00:00+00:00,1.0,5.0,
example-org/backend-api,87,Implement OAuth2 authentication,https://github.com/example-org/backend-api/pull/87,john-backend,False,2025-10-23T13:00:00+00:00,2025-10-24T15:00:00+00:00,2025-10-24T15:00:00+00:00,345,123,18,12,5,2025-10-23T15:00:00+00:00,2.0,26.0,
example-org/backend-api,86,Add caching layer for API responses,https://github.com/example-org/backend-api/pull/86,maria-api,False,2025-10-22T11:00:00+00:00,2025-10-22T17:00:00+00:00,2025-10-22T17:00:00+00:00,234,89,12,7,3,2025-10-22T12:30:00+00:00,1.5,6.0,
example-org/backend-api,85,Update dependencies,https://github.com/example-org/backend-api/pull/85,dependabot[bot],False,2025-10-21T08:00:00+00:00,2025-10-21T09:00:00+00:00,2025-10-21T09:00:00+00:00,178,145,15,1,1,2025-10-21T08:30:00+00:00,0.5,1.0,
example-org/backend-api,84,Optimize database queries,https://github.com/example-org/backend-api/pull/84,lisa-db,False,2025-10-20T14:00:00+00:00,2025-10-21T10:00:00+00:00,2025-10-21T10:00:00+00:00,89,67,9,5,3,2025-10-20T15:30:00+00:00,1.5,20.0,
example-org/backend-api,83,Add logging for audit trail,https://github.com/example-org/backend-api/pull/83,john-backend,False,2025-10-19T10:00:00+00:00,2025-10-19T15:00:00+00:00,2025-10-19T15:00:00+00:00,123,34,7,4,2,2025-10-19T11:00:00+00:00,1.0,5.0,
example-org/backend-api,82,Fix race condition in job queue,https://github.com/example-org/backend-api/pull/82,maria-api,False,2025-10-18T13:00:00+00:00,2025-10-18T18:00:00+00:00,2025-10-18T18:00:00+00:00,78,56,6,4,2,2025-10-18T14:30:00+00:00,1.5,5.0,
example-org/backend-api,81,Implement WebSocket support,https://github.com/example-org/backend-api/pull/81,john-backend,False,2025-10-17T09:00:00+00:00,2025-10-18T11:00:00+00:00,2025-10-18T11:00:00+00:00,456,123,22,15,6,2025-10-17T11:00:00+00:00,2.0,26.0,
example-org/backend-api,80,Add health check endpoints,https://github.com/example-org/backend-api/pull/80,lisa-db,False,2025-10-16T11:00:00+00:00,2025-10-16T14:00:00+00:00,2025-10-16T14:00:00+00:00,67,23,4,3,2,2025-10-16T12:00:00+00:00,1.0,3.0,
example-org/backend-api,79,Refactor error handling,https://github.com/example-org/backend-api/pull/79,maria-api,False,2025-10-15T10:00:00+00:00,2025-10-15T16:00:00+00:00,2025-10-15T16:00:00+00:00,145,98,11,6,3,2025-10-15T11:30:00+00:00,1.5,6.0,
